,Date,Product ID,Category,Product Name,Quantity,Price per Unit,Total Value,Shelf Life (days)/ Warranty,Production Date,Expiration Date/Warranty Period,Holiday,Seasonality,Product Score,comp_1,comp_2,comp_3,Lag Price
20,01-07-2017,ID_21,Kitchen Ware and Household Appliances,garden5,10.0,89.0,890.0,365,01-07-2017,01-07-2018,1,1,4.1,59.9,59.9,59.9,55.65446658143244
21,01-08-2017,ID_22,Kitchen Ware and Household Appliances,garden5,7.0,97.33333333,683.0,720,01-08-2017,22-07-2019,1,1,4.1,59.9,59.9,59.9,59.99251127975254
22,01-09-2017,ID_23,Kitchen Ware and Household Appliances,garden5,9.0,99.0,891.0,365,01-09-2017,01-09-2018,1,1,4.1,59.9,59.9,59.9,62.928171728649936
23,01-10-2017,ID_24,Kitchen Ware and Household Appliances,garden5,14.0,99.0,1386.0,720,01-10-2017,21-09-2019,1,1,4.1,59.9,59.9,59.9,55.458416182755315
24,01-11-2017,ID_25,Kitchen Ware and Household Appliances,garden5,17.0,99.0,1683.0,720,01-11-2017,22-10-2019,0,1,4.1,52.40694444,53.64828125,53.78571429,54.2902167519335
25,01-12-2017,ID_26,Kitchen Ware and Household Appliances,garden5,11.0,99.0,1089.0,365,01-12-2017,01-12-2018,1,1,4.1,55.1,55.425,55.75,55.41133370771382
26,01-01-2018,ID_27,Kitchen Ware and Household Appliances,garden5,4.0,99.5,398.0,720,01-01-2018,22-12-2019,0,1,4.1,49.9,49.9,49.9,51.30485097339034
27,01-02-2018,ID_28,Kitchen Ware and Household Appliances,garden5,2.0,101.0,202.0,720,01-02-2018,22-01-2020,0,1,4.1,50.54516129,50.9,50.35714286,49.79487985813067
28,01-03-2018,ID_29,Kitchen Ware and Household Appliances,garden5,1.0,101.0,101.0,365,01-03-2018,01-03-2019,1,1,4.1,53.9,53.9,53.9,57.52721265353346
29,01-04-2018,ID_30,Kitchen Ware and Household Appliances,garden5,1.0,101.0,101.0,720,01-04-2018,21-03-2020,1,1,4.1,53.9,53.9,53.9,55.074141034894026
30,01-07-2017,ID_31,Toys and Games,consoles1,13.0,19.9,258.7,365,01-07-2017,01-07-2018,1,2,4.2,19.9,19.9,19.9,18.031738957105556
31,01-08-2017,ID_32,Toys and Games,consoles1,24.0,19.9,477.6,720,01-08-2017,22-07-2019,1,2,4.2,19.9,19.9,19.9,21.21131398772458
32,01-09-2017,ID_33,Toys and Games,consoles1,9.0,19.9,179.1,720,01-09-2017,22-08-2019,1,2,4.2,19.9,19.9,19.9,21.63109465991859
33,01-10-2017,ID_34,Toys and Games,consoles1,28.0,21.54285714,603.2,720,01-10-2017,21-09-2019,1,2,4.2,21.54285714,20.66666667,21.54285714,22.296038234611995
34,01-11-2017,ID_35,Toys and Games,consoles1,28.0,24.5,686.0,720,01-11-2017,22-10-2019,0,2,4.2,24.5,24.5,24.5,23.15998168413566
35,01-12-2017,ID_36,Toys and Games,consoles1,16.0,24.5,392.0,720,01-12-2017,21-11-2019,1,2,4.2,24.5,24.5,24.5,26.308719062480087
36,01-02-2018,ID_37,Toys and Games,consoles1,5.0,32.5,162.5,365,01-02-2018,01-02-2019,0,2,4.2,32.5,32.5,32.5,33.77001050037309
37,01-03-2018,ID_38,Toys and Games,consoles1,6.0,32.5,195.0,720,01-03-2018,19-02-2020,1,2,4.2,32.5,32.74285714,32.5,35.115131258958506
38,01-04-2018,ID_39,Toys and Games,consoles1,7.0,35.05714286,245.4,720,01-04-2018,21-03-2020,1,2,4.2,35.05714286,34.2,35.05714286,36.907806182858764
39,01-05-2018,ID_40,Toys and Games,consoles1,3.0,36.2,108.6,720,01-05-2018,20-04-2020,0,2,4.2,36.2,36.2,36.2,36.633295945325294
40,01-06-2018,ID_41,Toys and Games,consoles1,2.0,36.2,72.4,720,01-06-2018,21-05-2020,0,2,4.2,36.2,36.2,36.2,38.93644317972381
41,01-07-2018,ID_42,Toys and Games,consoles1,1.0,36.2,36.2,720,01-07-2018,20-06-2020,1,2,4.2,36.2,36.2,36.2,36.23491917079441
42,01-04-2017,ID_43,Kitchen Ware and Household Appliances,garden7,1.0,59.9,59.9,720,01-04-2017,22-03-2019,1,1,4.2,59.9,59.9,59.9,65.47802551703968
43,01-05-2017,ID_44,Kitchen Ware and Household Appliances,garden7,1.0,59.9,59.9,365,01-05-2017,01-05-2018,1,1,4.2,59.9,59.9,59.9,55.959977276726335
44,01-07-2017,ID_45,Kitchen Ware and Household Appliances,garden7,4.0,59.9,239.6,720,01-07-2017,21-06-2019,1,1,4.2,59.9,59.9,59.9,62.7898158204318
45,01-08-2017,ID_46,Kitchen Ware and Household Appliances,garden7,6.0,59.9,359.4,720,01-08-2017,22-07-2019,1,1,4.2,59.9,59.9,59.9,62.910403014400195
46,01-09-2017,ID_47,Kitchen Ware and Household Appliances,garden7,5.0,59.9,299.5,365,01-09-2017,01-09-2018,1,1,4.2,59.9,59.9,59.9,62.155701308448855
47,01-10-2017,ID_48,Kitchen Ware and Household Appliances,garden7,11.0,59.9,658.9,365,01-10-2017,01-10-2018,1,1,4.2,59.9,59.9,59.9,57.42280894171236
48,01-11-2017,ID_49,Kitchen Ware and Household Appliances,garden7,20.0,51.32222222,1043.6,720,01-11-2017,22-10-2019,0,1,4.2,52.40694444,53.64828125,53.78571429,52.52814227187475
49,01-12-2017,ID_50,Kitchen Ware and Household Appliances,garden7,10.0,56.97777778,571.8,720,01-12-2017,21-11-2019,1,1,4.2,55.1,55.425,55.75,58.62697382834991
50,01-01-2018,ID_51,Kitchen Ware and Household Appliances,garden7,11.0,49.9,548.9,720,01-01-2018,22-12-2019,0,1,4.2,49.9,49.9,49.9,54.52401915920324
51,01-02-2018,ID_52,Kitchen Ware and Household Appliances,garden7,8.0,51.4,411.2,720,01-02-2018,22-01-2020,0,1,4.2,50.54516129,50.9,50.35714286,48.39053924080581
52,01-03-2018,ID_53,Kitchen Ware and Household Appliances,garden7,3.0,53.9,161.7,720,01-03-2018,19-02-2020,1,1,4.2,53.9,53.9,53.9,52.13418719223694
53,01-04-2018,ID_54,Kitchen Ware and Household Appliances,garden7,8.0,53.9,431.2,720,01-04-2018,21-03-2020,1,1,4.2,53.9,53.9,53.9,54.173479159417006
54,01-05-2018,ID_55,Kitchen Ware and Household Appliances,garden7,9.0,52.9,477.1,365,01-05-2018,01-05-2019,0,1,4.2,53.41515152,53.70952381,53.05789474,49.96201853331283
55,01-06-2018,ID_56,Kitchen Ware and Household Appliances,garden7,5.0,49.9,249.5,720,01-06-2018,21-05-2020,0,1,4.2,49.9,49.9,49.9,46.849411873558466
56,01-07-2018,ID_57,Kitchen Ware and Household Appliances,garden7,6.0,49.9,299.4,365,01-07-2018,01-07-2019,1,1,4.2,49.91,49.9,49.9,54.006844829521846
57,01-08-2018,ID_58,Kitchen Ware and Household Appliances,garden7,7.0,49.9,349.3,365,01-08-2018,01-08-2019,1,1,4.2,49.91,49.9,49.9,52.93409103305693
58,01-02-2017,ID_59,Health and Beauty,health9,11.0,19.99,219.89,365,01-02-2017,01-02-2018,0,0,4.3,19.99,19.99,64.99,21.80818129893567
59,01-03-2017,ID_60,Health and Beauty,health9,9.0,19.99,179.91,720,01-03-2017,19-02-2019,1,0,4.3,19.99,89.99,64.99,33.86420773352067
60,01-04-2017,ID_61,Health and Beauty,health9,13.0,19.99,259.87,365,01-04-2017,01-04-2018,1,0,4.3,19.99,19.99,64.99,20.43506819582145
61,01-05-2017,ID_62,Health and Beauty,health9,16.0,19.99,319.84,720,01-05-2017,21-04-2019,1,0,4.3,19.99,89.99,64.99,31.89378235781075
62,01-06-2017,ID_63,Health and Beauty,health9,21.0,19.99,419.79,365,01-06-2017,01-06-2018,1,0,4.3,19.99,89.99,58.79952381,47.62232472271529
63,01-07-2017,ID_64,Health and Beauty,health9,29.0,19.99,579.71,365,01-07-2017,01-07-2018,1,0,4.3,19.99,89.99,59.25666667,33.170362766300734
64,01-08-2017,ID_65,Health and Beauty,health9,28.0,23.39740741,651.72,365,01-08-2017,01-08-2018,1,0,4.3,23.39740741,89.99,58.99,33.42178910826007
65,01-09-2017,ID_66,Health and Beauty,health9,24.0,23.99,575.76,365,01-09-2017,01-09-2018,1,0,4.3,23.99,89.99,58.99,40.88007081249155
66,01-10-2017,ID_67,Health and Beauty,health9,27.0,23.99,647.73,720,01-10-2017,21-09-2019,1,0,4.3,23.99,89.99,58.99,30.15195865527611
67,01-11-2017,ID_68,Health and Beauty,health9,28.0,23.99,671.72,720,01-11-2017,22-10-2019,0,0,4.3,23.99,89.99,58.99,47.80926378009437
68,01-12-2017,ID_69,Health and Beauty,health9,19.0,23.99,455.81,365,01-12-2017,01-12-2018,1,0,4.3,23.99,89.99,58.99,28.37965128753724
69,01-01-2018,ID_70,Health and Beauty,health9,19.0,23.99,455.81,720,01-01-2018,22-12-2019,0,0,4.3,23.99,89.99,58.99,52.74085498110701
70,01-02-2018,ID_71,Health and Beauty,health9,14.0,23.99,335.86,720,01-02-2018,22-01-2020,0,0,4.3,23.99,89.99,58.99,47.00947982975934
71,01-03-2018,ID_72,Health and Beauty,health9,8.0,23.99,191.92,365,01-03-2018,01-03-2019,1,0,4.3,23.99,83.74,58.99,31.69510612832547
72,01-05-2018,ID_73,Health and Beauty,health9,7.0,23.99,167.93,365,01-05-2018,01-05-2019,0,0,4.3,23.99,79.99,58.99,26.53645157143443
73,01-06-2018,ID_74,Health and Beauty,health9,3.0,23.99,71.97,365,01-06-2018,01-06-2019,0,0,4.3,23.99,79.99,58.99,48.163451062600984
74,01-07-2018,ID_75,Health and Beauty,health9,3.0,23.99,71.97,365,01-07-2018,01-07-2019,1,0,4.3,23.99,79.99,58.99,45.263504795419074
75,01-08-2018,ID_76,Health and Beauty,health9,2.0,23.99,47.98,720,01-08-2018,21-07-2020,1,0,4.3,23.99,82.82142857,58.99,45.85494940103044
76,01-07-2017,ID_77,Apparel,cool4,1.0,134.99,134.99,365,01-07-2017,01-07-2018,1,2,3.8,99.99,129.99,134.99,129.2491995768424
77,01-08-2017,ID_78,Apparel,cool4,1.0,134.99,134.99,720,01-08-2017,22-07-2019,1,2,3.8,99.99,116.9275,134.99,122.43264349879314
78,01-10-2017,ID_79,Apparel,cool4,12.0,146.99,1763.88,720,01-10-2017,21-09-2019,1,2,3.8,99.99,119.99,146.99,132.12633143640144
79,01-11-2017,ID_80,Apparel,cool4,27.0,157.3603704,4248.73,365,01-11-2017,01-11-2018,0,2,3.8,99.99,129.99,157.3603704,142.28538330008143
80,01-12-2017,ID_81,Apparel,cool4,29.0,166.99,4842.71,365,01-12-2017,01-12-2018,1,2,3.8,99.99,129.99,166.99,146.55855772903607
81,01-01-2018,ID_82,Apparel,cool4,13.0,166.99,2170.87,365,01-01-2018,01-01-2019,0,2,3.8,99.99,129.99,29.5,114.65838353133783
82,01-02-2018,ID_83,Apparel,cool4,8.0,176.99,1415.92,720,01-02-2018,22-01-2020,0,2,3.8,99.99,129.99,176.99,145.26559475503745
83,01-03-2018,ID_84,Apparel,cool4,11.0,173.8081818,1911.89,365,01-03-2018,01-03-2019,1,2,3.8,99.99,129.99,35.0,110.1988750762885
84,01-04-2018,ID_85,Apparel,cool4,6.0,169.99,1019.94,720,01-04-2018,21-03-2020,1,2,3.8,89.86333333,129.99,35.0,104.43592637784874
85,01-01-2018,ID_86,Health and Beauty,health3,1.0,110.99,110.99,720,01-01-2018,22-12-2019,0,0,4.1,23.99,89.99,58.99,76.23576964158549
86,01-02-2018,ID_87,Health and Beauty,health3,2.0,110.99,221.98,720,01-02-2018,22-01-2020,0,0,4.1,23.99,89.99,58.99,68.13924428608372
87,01-03-2018,ID_88,Health and Beauty,health3,9.0,110.99,998.91,720,01-03-2018,19-02-2020,1,0,4.1,23.99,83.74,58.99,71.94455160394516
88,01-04-2018,ID_89,Health and Beauty,health3,13.0,116.5284615,1514.87,720,01-04-2018,21-03-2020,1,0,4.1,116.5284615,79.99,58.99,104.36753164594495
89,01-05-2018,ID_90,Health and Beauty,health3,23.0,119.99,2759.77,720,01-05-2018,20-04-2020,0,0,4.1,23.99,79.99,58.99,65.55588288353646
90,01-06-2018,ID_91,Health and Beauty,health3,43.0,122.99,5288.57,365,01-06-2018,01-06-2019,0,0,4.1,23.99,79.99,58.99,69.66582024363485
91,01-07-2018,ID_92,Health and Beauty,health3,33.0,122.99,4058.67,365,01-07-2018,01-07-2019,1,0,4.1,23.99,79.99,58.99,68.04051405750107
92,01-08-2018,ID_93,Health and Beauty,health3,32.0,122.99,3935.68,365,01-08-2018,01-08-2019,1,0,4.1,23.99,82.82142857,58.99,73.26682079427086
93,01-06-2017,ID_94,Fashion Accessories,perfumery1,4.0,56.99,227.96,365,01-06-2017,01-06-2018,1,2,4.3,56.99,56.99,56.99,60.669846699878704
94,01-07-2017,ID_95,Fashion Accessories,perfumery1,7.0,56.99,398.93,365,01-07-2017,01-07-2018,1,2,4.3,56.99,56.99,56.99,54.79444939652618
95,01-08-2017,ID_96,Fashion Accessories,perfumery1,7.0,56.99,398.93,365,01-08-2017,01-08-2018,1,2,4.3,56.99,142.5,56.99,57.06071779263868
96,01-09-2017,ID_97,Fashion Accessories,perfumery1,17.0,56.99,968.83,365,01-09-2017,01-09-2018,1,2,4.3,56.99,142.5,56.99,124.61885284293643
97,01-10-2017,ID_98,Fashion Accessories,perfumery1,17.0,56.99,968.83,720,01-10-2017,21-09-2019,1,2,4.3,56.99,142.5,56.99,57.81588747274925
98,01-11-2017,ID_99,Fashion Accessories,perfumery1,20.0,56.99,1139.8,365,01-11-2017,01-11-2018,0,2,4.3,56.99,118.05,56.99,62.39927279337081
99,01-12-2017,ID_100,Fashion Accessories,perfumery1,24.0,56.99,1367.76,720,01-12-2017,21-11-2019,1,2,4.3,56.99,118.0,56.99,61.45925351513032
100,01-01-2018,ID_101,Fashion Accessories,perfumery1,10.0,56.99,569.9,720,01-01-2018,22-12-2019,0,2,4.3,56.99,117.9,56.99,62.33077014154261
101,01-02-2018,ID_102,Fashion Accessories,perfumery1,4.0,56.99,227.96,365,01-02-2018,01-02-2019,0,2,4.3,56.99,117.8888889,56.99,87.45973971704433
102,01-03-2018,ID_103,Fashion Accessories,perfumery1,14.0,50.49,706.86,720,01-03-2018,19-02-2020,1,2,4.3,50.49,117.7,50.49,52.36463330309126
103,01-04-2018,ID_104,Fashion Accessories,perfumery1,2.0,49.99,99.98,720,01-04-2018,21-03-2020,1,2,4.3,49.99,117.975,49.99,102.64286729995894
104,01-07-2018,ID_105,Fashion Accessories,perfumery1,8.0,49.99,399.92,365,01-07-2018,01-07-2019,1,2,4.3,49.99,118.7,49.99,90.73475630022716
105,01-08-2018,ID_106,Fashion Accessories,perfumery1,4.0,49.99,199.96,365,01-08-2018,01-08-2019,1,2,4.3,49.99,116.9066667,49.99,52.49657629296955
106,01-04-2017,ID_107,Apparel,cool5,2.0,99.99,199.98,720,01-04-2017,22-03-2019,1,2,4.3,99.99,129.99,99.99,101.78216230513348
107,01-05-2017,ID_108,Apparel,cool5,18.0,99.99,1799.82,365,01-05-2017,01-05-2018,1,2,4.3,99.99,129.99,99.99,114.60251606256908
108,01-06-2017,ID_109,Apparel,cool5,11.0,99.99,1099.89,365,01-06-2017,01-06-2018,1,2,4.3,99.99,129.99,99.99,105.41349428649853
109,01-07-2017,ID_110,Apparel,cool5,14.0,99.99,1399.86,365,01-07-2017,01-07-2018,1,2,4.3,99.99,129.99,99.99,108.44955576324381
110,01-08-2017,ID_111,Apparel,cool5,8.0,99.99,799.92,365,01-08-2017,01-08-2018,1,2,4.3,99.99,116.9275,99.99,104.19455044463047
111,01-09-2017,ID_112,Apparel,cool5,6.0,99.99,599.94,365,01-09-2017,01-09-2018,1,2,4.3,99.99,99.99,29.5,96.83340959854849
112,01-10-2017,ID_113,Apparel,cool5,9.0,99.99,899.91,365,01-10-2017,01-10-2018,1,2,4.3,99.99,119.99,99.99,107.9921713759102
113,01-11-2017,ID_114,Apparel,cool5,2.0,99.99,199.98,365,01-11-2017,01-11-2018,0,2,4.3,99.99,129.99,99.99,110.32658069610162
114,01-12-2017,ID_115,Apparel,cool5,3.0,99.99,299.97,720,01-12-2017,21-11-2019,1,2,4.3,99.99,129.99,99.99,116.83117363791767
115,01-01-2018,ID_116,Apparel,cool5,6.0,99.99,599.94,365,01-01-2018,01-01-2019,0,2,4.3,99.99,129.99,29.5,112.83816954098155
116,01-02-2018,ID_117,Apparel,cool5,9.0,99.99,899.91,365,01-02-2018,01-02-2019,0,2,4.3,99.99,129.99,99.99,116.0860156592615
117,01-03-2018,ID_118,Apparel,cool5,5.0,97.952,489.76,365,01-03-2018,01-03-2019,1,2,4.3,99.99,129.99,35.0,115.46726315937605
118,01-04-2018,ID_119,Apparel,cool5,4.0,84.6925,338.77,365,01-04-2018,01-04-2019,1,2,4.3,89.86333333,129.99,35.0,109.13609766105854
119,01-03-2017,ID_120,Health and Beauty,health8,6.0,89.99,539.94,365,01-03-2017,01-03-2018,1,0,4.1,19.99,89.99,64.99,78.5057443863061
120,01-05-2017,ID_121,Health and Beauty,health8,6.0,89.99,539.94,365,01-05-2017,01-05-2018,1,0,4.1,19.99,89.99,64.99,79.8366548634854
121,01-06-2017,ID_122,Health and Beauty,health8,9.0,89.99,809.91,720,01-06-2017,22-05-2019,1,0,4.1,19.99,89.99,58.79952381,71.27162066978775
122,01-07-2017,ID_123,Health and Beauty,health8,17.0,89.99,1529.83,365,01-07-2017,01-07-2018,1,0,4.1,19.99,89.99,59.25666667,70.35229157590027
123,01-08-2017,ID_124,Health and Beauty,health8,18.0,89.99,1619.82,365,01-08-2017,01-08-2018,1,0,4.1,23.39740741,89.99,58.99,75.63858869434485
124,01-09-2017,ID_125,Health and Beauty,health8,21.0,89.99,1889.79,720,01-09-2017,22-08-2019,1,0,4.1,23.99,89.99,58.99,77.89693535713815
125,01-10-2017,ID_126,Health and Beauty,health8,24.0,89.99,2159.76,720,01-10-2017,21-09-2019,1,0,4.1,23.99,89.99,58.99,77.16331524017306
126,01-11-2017,ID_127,Health and Beauty,health8,26.0,89.99,2339.74,720,01-11-2017,22-10-2019,0,0,4.1,23.99,89.99,58.99,77.73539537392173
127,01-12-2017,ID_128,Health and Beauty,health8,19.0,89.99,1709.81,720,01-12-2017,21-11-2019,1,0,4.1,23.99,89.99,58.99,71.90276253511786
128,01-01-2018,ID_129,Health and Beauty,health8,20.0,89.99,1799.8,720,01-01-2018,22-12-2019,0,0,4.1,23.99,89.99,58.99,78.0577665488502
129,01-02-2018,ID_130,Health and Beauty,health8,17.0,89.99,1529.83,720,01-02-2018,22-01-2020,0,0,4.1,23.99,89.99,58.99,66.82460620957755
130,01-03-2018,ID_131,Health and Beauty,health8,16.0,83.74,1339.84,720,01-03-2018,19-02-2020,1,0,4.1,23.99,83.74,58.99,70.59361227933583
131,01-04-2018,ID_132,Health and Beauty,health8,14.0,79.99,1119.86,365,01-04-2018,01-04-2019,1,0,4.1,79.99,79.99,58.99,87.89687294935105
132,01-05-2018,ID_133,Health and Beauty,health8,16.0,79.99,1279.84,365,01-05-2018,01-05-2019,0,0,4.1,23.99,79.99,58.99,67.19420856395173
133,01-06-2018,ID_134,Health and Beauty,health8,13.0,79.99,1039.87,365,01-06-2018,01-06-2019,0,0,4.1,23.99,79.99,58.99,67.49160982065668
134,01-07-2018,ID_135,Health and Beauty,health8,10.0,79.99,799.9,720,01-07-2018,20-06-2020,1,0,4.1,23.99,79.99,58.99,67.70261845580893
135,01-08-2018,ID_136,Health and Beauty,health8,7.0,82.82142857,579.75,720,01-08-2018,21-07-2020,1,0,4.1,23.99,82.82142857,58.99,71.6004572485792
136,01-07-2017,ID_137,Kitchen Ware and Household Appliances,garden4,13.0,59.9,778.7,720,01-07-2017,21-06-2019,1,1,4.1,59.9,59.9,59.9,61.235073946781256
137,01-08-2017,ID_138,Kitchen Ware and Household Appliances,garden4,23.0,59.9,1377.7,365,01-08-2017,01-08-2018,1,1,4.1,59.9,59.9,59.9,60.514650400982084
138,01-09-2017,ID_139,Kitchen Ware and Household Appliances,garden4,13.0,59.9,778.7,720,01-09-2017,22-08-2019,1,1,4.1,59.9,59.9,59.9,61.53371736349606
139,01-10-2017,ID_140,Kitchen Ware and Household Appliances,garden4,36.0,59.9,2156.4,720,01-10-2017,21-09-2019,1,1,4.1,59.9,59.9,59.9,61.418443536280506
140,01-11-2017,ID_141,Kitchen Ware and Household Appliances,garden4,69.0,53.78571429,3711.7,720,01-11-2017,22-10-2019,0,1,4.1,52.40694444,53.64828125,53.78571429,56.60269531859775
141,01-12-2017,ID_142,Kitchen Ware and Household Appliances,garden4,44.0,55.75,2468.6,365,01-12-2017,01-12-2018,1,1,4.1,55.1,55.425,55.75,57.90900542153341
142,01-01-2018,ID_143,Kitchen Ware and Household Appliances,garden4,39.0,49.9,1946.1,720,01-01-2018,22-12-2019,0,1,4.1,49.9,49.9,49.9,49.92745991119399
143,01-02-2018,ID_144,Kitchen Ware and Household Appliances,garden4,48.0,50.35714286,2411.2,720,01-02-2018,22-01-2020,0,1,4.1,50.54516129,50.9,50.35714286,52.41349634050585
144,01-03-2018,ID_145,Kitchen Ware and Household Appliances,garden4,26.0,53.9,1401.4,720,01-03-2018,19-02-2020,1,1,4.1,53.9,53.9,53.9,56.2194194706109
145,01-04-2018,ID_146,Kitchen Ware and Household Appliances,garden4,28.0,53.9,1509.2,365,01-04-2018,01-04-2019,1,1,4.1,53.9,53.9,53.9,58.89235870751814
146,01-05-2018,ID_147,Kitchen Ware and Household Appliances,garden4,25.0,53.05789474,1319.5,365,01-05-2018,01-05-2019,0,1,4.1,53.41515152,53.70952381,53.05789474,54.80002224215573
147,01-06-2018,ID_148,Kitchen Ware and Household Appliances,garden4,15.0,49.9,748.5,720,01-06-2018,21-05-2020,0,1,4.1,49.9,49.9,49.9,46.27393017727318
148,01-07-2018,ID_149,Kitchen Ware and Household Appliances,garden4,3.0,49.9,149.7,365,01-07-2018,01-07-2019,1,1,4.1,49.91,49.9,49.9,54.37624206252511
149,01-08-2018,ID_150,Kitchen Ware and Household Appliances,garden4,6.0,49.9,299.4,720,01-08-2018,21-07-2020,1,1,4.1,49.91,49.9,49.9,52.10910828691862
150,01-10-2017,ID_151,Computer Accessories,computers5,1.0,167.0,167.0,720,01-10-2017,21-09-2019,1,1,3.5,154.6958824,167.0,167.0,182.84355500206507
151,01-12-2017,ID_152,Computer Accessories,computers5,2.0,119.9,239.8,720,01-12-2017,21-11-2019,1,1,3.5,149.99,119.9,109.9,132.94820951346873
152,01-01-2018,ID_153,Computer Accessories,computers5,57.0,93.09489362,5453.96,365,01-01-2018,01-01-2019,0,1,3.5,156.5113514,150.3545455,97.6425,111.45110507171687
153,01-02-2018,ID_154,Computer Accessories,computers5,45.0,77.155,3465.8,365,01-02-2018,01-02-2019,0,1,3.5,149.0,149.9,78.7122807,109.84058656122811
154,01-03-2018,ID_155,Computer Accessories,computers5,6.0,88.0,528.0,720,01-03-2018,19-02-2020,1,1,3.5,136.1428571,149.9,81.02391304,122.04926402621345
155,01-04-2018,ID_156,Computer Accessories,computers5,10.0,88.0,880.0,365,01-04-2018,01-04-2019,1,1,3.5,120.9230769,149.9,80.66666667,93.59802363392399
156,01-06-2018,ID_157,Computer Accessories,computers5,3.0,89.9,269.7,365,01-06-2018,01-06-2019,0,1,3.5,114.4911538,149.9,78.9,97.71357273988808
157,01-07-2018,ID_158,Computer Accessories,computers5,3.0,78.9,236.7,720,01-07-2018,20-06-2020,1,1,3.5,119.99,149.9,77.9,102.67487904144573
158,01-05-2017,ID_159,Kitchen Ware and Household Appliances,garden10,3.0,59.9,179.7,720,01-05-2017,21-04-2019,1,1,4.2,59.9,59.9,59.9,63.04310222297105
159,01-06-2017,ID_160,Kitchen Ware and Household Appliances,garden10,3.0,59.9,179.7,720,01-06-2017,22-05-2019,1,1,4.2,59.9,59.9,59.9,57.286885546806595
160,01-07-2017,ID_161,Kitchen Ware and Household Appliances,garden10,19.0,59.9,1138.1,365,01-07-2017,01-07-2018,1,1,4.2,59.9,59.9,59.9,61.48395807002335
